date,P02,P04,P07,P09,P10,P11,P12,P13,P14,P15,P16,C01,P03,P20
2011-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.7142361111111,0.0,0.0
2011-05-01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.4714285714286,0.0,0.0
2011-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.29652777777775,0.0,0.0
2011-05-03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.1454861111111,0.0,0.0
2011-05-04,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.09687499999998,0.0,0.0
2011-05-05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.3326388888889,0.2,0.0
2011-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.5,0.0,0.0
2011-05-07,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.5,0.0,0.0
2011-05-08,0.5,0.0,0.2,0.9,0.0,0.1,0.0,0.8,0.3,0.4,0.1,192.5,0.0,0.6
2011-05-09,0.1,0.5,0.0,0.0,0.0,0.2,0.2,0.2,0.6000000000000001,0.1,0.2,227.90625,0.3,0.1
2011-05-10,1.9000000000000001,1.2,2.7,1.1,0.0,1.3,0.9,1.3,2.3000000000000003,1.8,1.1,248.30833333333334,1.1,2.1
2011-05-11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.63867595818817,0.0,0.0
2011-05-12,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.4475694444444,0.0,0.1
2011-05-13,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.08958333333334,0.0,0.0
2011-05-14,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.5211805555556,0.0,0.0
2011-05-15,2.0,1.8,3.4,2.6,0.0,3.2,4.1000000000000005,3.6999999999999997,2.7,2.5,1.9000000000000001,267.4440972222222,2.3,2.2
2011-05-16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,236.89721254355402,0.0,0.0
2011-05-17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,235.95833333333334,0.0,0.0
2011-05-18,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.54652777777775,0.0,0.0
2011-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.01250000000002,0.0,0.0
2011-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,235.34687499999998,0.0,0.0
2011-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.40592334494772,0.0,0.0
2011-05-22,2.1,13.0,9.4,3.5,0.0,3.9000000000000004,6.1000000000000005,7.4,9.1,9.5,8.8,277.97013888888887,9.8,4.0
